tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments,sentiment_id
1956969456,ناتوانم بخەوم,neutral,feinyheiny,cant fall asleep,cant fall asleep,ئاسایی,4
1956969531,خنکا بە ڕیتێنەرەکانی,worry,dudeitsmanda,Choked on her retainers,Choked on her retainers,نیگەران,5
1956970047,ئەف! دەبێت لەم گۆرانییە گەمژانە بدەم تا بگەمە بێئەدەبی داهاتوو!,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,Ugh! I have to beat this stupid song to get to the next rude!,دڵتەنگ,2
1956970424,ئەگەر سەیری گردەکان بکەیت لە لەندەن ئەوا تێدەگەیت کە چ گەشتێکە چونکە هەفتە و هەفتە دواکەوتبوو من تەنها سەیری  دەکەم,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol,دڵتەنگ,2
1956970860,هەواڵەکەی دەستکەوت,surprise,okiepeanut93,Got the news,Got the news,سوپرایز,6
1956971077,زریانەکە لێرەیە و کارەبا نەماوە,sadness,Sim_34,The storm is here and the electricity is gone,The storm is here and the electricity is gone,دڵتەنگ,2
1956971170,ڕازی بوو,love,poppygallico,@annarosekerr agreed,agreed,خۆشەویستی,7
1956971206,ئەوەندە خەواڵووی دیسانەوە و تەنانەت ئەوەندە درەنگ نەبووە. جارێکی تر شکست دێنم.,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,So sleepy again and it's not even that late. I fail once again.,دڵتەنگ,2
1956971473,  لە تویتێکدا باسی لەوە کردووە کە سەرسام نەبووە بە دزەپێکردنی ڤیدیۆکەی تەنها بۆ ئەوەی بزانن,worry,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,lady gaga tweeted about not being impressed by her video leaking just so you know,نیگەران,5
1956971586,چۆن قەناعەتت هەیە کە من هەمیشە تۆم ویستووە؟ چ سیگناڵێکم داوە...نەفرەت پێم وایە تازە هاوڕێیەکی ترم لەدەستداوە,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,دڵتەنگ,2
1956971981,ئای زۆر خراپە! هیوادارم باشتر بێت. منیش لەم دواییانەدا کێشەی خەوتنم هەیە,worry,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,oh too bad! I hope it gets better. I've been having sleep issues lately too,نیگەران,5
1956972097,پێم سەیرە بۆچی کاتژمێر ٧ی بەیانی بەئاگام،گۆرانییەکی نوێ دەنووسم،پیلانی پیلانە نهێنییە خراپەکانم دەگێڕم ...ئۆه نەفرەت،ئیتر نهێنی نییە,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore","Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",خۆشی,8
1956972116,قسەکانی نەخشەی هیچ بابەتێک لە پرۆگرامی کۆنفرانسی مارکاپی بالیساج ٢٠٠٩ بە شێوەی ئۆنلاین لە ://./mL6Z (لە ڕێگەی #,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,No Topic Maps talks at the Balisage Markup Conference 2009 Program online at http://tr.im/mL6Z (via #topicmaps,ئاسایی,4
1956972270,شتێکم خوارد کە نازانم چییە... بۆچی بەردەوام شتەکان دەگێڕمەوە دەربارەی خواردن,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,I ate Something I don't know what it is... Why do I keep Telling things about food,نیگەران,5
1956972359,ئەوەندە ماندووم و پێموایە بە دڵنیاییەوە تووشی هەوکردنی گوێچکە دەبم. چوونە سەر جێگا &;زوو&; ته نها جاریک.,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.,دڵتەنگ,2
1956972444,لە ڕێگام بۆ ماڵەوە  هەبوونی 2 گرێبەست  کچانی کەم تەمەن خواردنەوەی جین لە دا پاس لەکاتێکدا باسی  ......نەفرەت هەست بە پیری,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,نیگەران,5
1956972557,ببورە خەڵک زۆر بێ ئەدەبن لەگەڵت، ، پێویستە هەندێک ڕەوشت بەدەست بهێنن و باشتر بزانن لەوەی ئەوەندە لەشفرۆش بن!,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",دڵتەنگ,2
1956972884,دام سێرڤەرەکان هێشتا دابەزین پێویستە 80 لێبدەم پێش ئەوەی هەموو کۆکسپەرەکان تێپەڕنم,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,Damm servers still down i need to hit 80 before all the koxpers pass me,نیگەران,5
1956973598,فۆدج.... تەنها ئەو هەموو کاغەزەم  کرد.... ئەوەندە ماندوو بووم.... ئەف ڕقم لە قوتابخانەیە..... کاتی خەوتن!!!!!!!!!!!,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school..... time to sleep!!!!!!!!!!!,دڵتەنگ,2
1956973690,ڕقم لە شێرپەنجەیە. ڕقم لێیە ڕقم لێیە ڕقم لێیە.,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,نیگەران,5
1956974706,ئەوەندە بێزارکەر دەبێت کاتێک لە نیوەی شەودا دەست دەکات بە تایپکردن لەسەر کۆمپیوتەرەکەی!,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,It is so annoying when she starts typing on her computer in the middle of the night!,ڕق,9
1956975441,ناتوانم بخەوم,neutral,LovableKeKe,@cynthia_123 i cant sleep,i cant sleep,ئاسایی,4
1956975860,بیری پاسی ***yم کرد!!!!!!!!,neutral,analalalah,I missed the bl***y bus!!!!!!!!,I missed the bl***y bus!!!!!!!!,ئاسایی,4
1956975876,هەست بە گرژبوونی بەهێز دەکات بەڵام دەیەوێت بچێتە دەرەوە. ://.//,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,feels strong contractions but wants to go out. http://plurk.com/p/wxidk,ئاسایی,4
1956975927,سۆکال! . یان ڕەنگە نەبێت.. سبەی,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,SoCal! stoked. or maybe not.. tomorrow,ئاسایی,4
1956976187,  من تەنها 3 هەفتەم هەیە...,neutral,ivoflipse5,Screw you @davidbrussee! I only have 3 weeks...,Screw you I only have 3 weeks...,ئاسایی,4
1956976312,بەڵێ : هەست بە هەموو شتێکی کۆمیدی دەکەم چونکە من بەشی ئەوەندە نەخەوتووە دایکم لە خەو هەڵسا چونکە گۆرانیم دەگوت سەرسام نەبووە : تۆ؟,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,yeah :S i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :S you?,دڵتەنگ,2
1956976371,من ئێستا پێویستم بە سکۆتە,worry,babyxj,I need skott right now,I need skott right now,نیگەران,5
1956976557,ئەمڕۆ پاشنیوەڕۆ کارەکانی هەیە,neutral,JanBenn,has work this afternoon,has work this afternoon,ئاسایی,4
1956976681,ئاو تۆ ئەنفۆڵۆوم نەدەکرد ئەی؟ پاشان دەگریام,neutral,HarryHarley,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,Aw you would not unfollow me would you? Then I would cry,ئاسایی,4
1956977084, ڕۆژێکی زۆر باشتر... تا ئێستا! هێشتا زۆر زووە. کۆتا ڕۆژی #,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds,mmm much better day... so far! it's still quite early. last day of #uds,بەختەوەر,10
1956977187,&;3 تۆ دەبێتە یەکەم تویتەر ;) دەبێتە هۆی سەرسوڕهێنەرەکەت خخخخ. وەرە بۆ کەنەدا هەر شتێکم دەکرد بۆ ئەوەی ببینم تۆ نمایش بکەیت,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform,خۆشی,8
1956977618,تازە لە ناوەڕاستی شەقامەکەوە بلاکبێرییەکەی هەڵگرتووە! هەم ئەو و هەم ئەویش چەقێنراون!,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,نیگەران,5
1956977624,بۆچی هەست دەکەم کە دەبێ لە دەوروبەری ئەم کاتەی ساڵدا پاکەت بکەم و لێبدەم بۆ ؟ پێم وایە شتێکم لەدەست داوە...,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,نیگەران,5
1956978276,قوتابخانەی ناوەندی و . ئامادەییەکان بە کراوەیی دەمێننەوە بۆ ئەو کەسانەی کە پێویستیان بە کرێدت هەیە بۆ دەرچوون. کالی شکا,empty,Aggie9,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,بەتاڵ,1
1956978410,جێگا!!!!!... کاتی خۆی،..... هیوادارم سبەی بچمە قوتابخانە، هەموو هەرچەندە هەست بە باشییەکی زۆر ناکەم لە ئێستادا,worry,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now","Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",نیگەران,5
1956978668,ئاهه. ... باشە، هیوای ئەوەم دەخواست کە بتوانم لە ڕێگادا هەندێک شت فێر بم. ... بۆچی من و تۆ کار لەسەر شتی جیاواز ناکەین بەڵام هەروەها,worry,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","Ahh. ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",نیگەران,5
1956979150,من لێرە لە تویتەر کێشەم هەیە لەگەڵ وێنەکەم !!!...ناتوانم ڕووخسارم ببینم!,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,دڵتەنگ,2
1956979437,ئای نەخێر! ئەگەر تایەی ئۆتۆمبێلێک بفڕم ئەوا بەڕاستی دەبێت هەندێک دوکەڵی باتمان بنێری بۆ سەرەوە.,neutral,shenamygans,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke.,ئاسایی,4
1956979756, حەمامێک بکە!!!!,neutral,ryarellano,wnna take a bath!!!!,wnna take a bath!!!!,ئاسایی,4
1956979894,شیری شوکولاتە لە ڕێگەی پەڕۆیەکەوە زۆر باشترە. من کەمی وتراوە پەڕۆ,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,Chocolate milk is so much better through a straw. I lack said straw,ئاسایی,4
1956979900,بۆچی ئەوەندە ماندووم؟,worry,a_schmel,why am i so tired?,why am i so tired?,نیگەران,5
1956979917,هێی یو لیل گێل من نامەم بۆ یو,empty,Dreness023,@djmicdamn hey yu lil fucker i textd yu,hey yu lil fucker i textd yu,بەتاڵ,1
1956980788,کات جیاوازی و من تەنها لە شتەکانی ڕۆژانەدا پێچراومەتەوە بۆیە من  بووم تویت. بەم زووانە قسە بکە،پێویستە بخەوێت...لە 6hrs دا هەڵدەستێت,neutral,nathaliep,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",ئاسایی,4
1956980883,بە هیچ شێوەیەک! نەفرەت لەوەی کە بی دەمژێت! تۆ باشی?,neutral,hollywoods500,@benballer  no way! damn that sucks B!  are you ok?,no way! damn that sucks B! are you ok?,ئاسایی,4
1956980972,مژدە دەدات کە نەتوانیت ڕۆژانێک پشوو لە کارەکەت وەربگریت یان پارەت هەبێت بۆ ئەوەی گەشتەکە بەو شێوەیە دڵتەزێن ئەنجام بدەیت,worry,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad,sucks not being able to take days off of work or have the money to take the trip so sad,نیگەران,5
1956981427,جێگا...سۆرتا. ئەمڕۆ باش بوو، سارا هەیە سترێپ بیری لەوە کردۆتەوە ئەنجلینا دەکات بۆ؛ من ئاوێکم لەگەڵ B4 ی ئەودا هاوبەش کرد پێیان وتم، من  دەیگەیەنم بۆ,enthusiasm,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to","bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",پەرۆش,3
1956981850,پاشەکشەی ئابووری. هۆتێلەکەی خەریکی ڕێکخستنەوەی چۆنیەتی ئەنجامدانی ئەکاونتەکانن. لە کورتخایەندا کەمێک فشاری زیاتر زیاد دەکات بەڵام ئێمە ڕوبەڕوی دەبینەوە,neutral,robuttley,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,ئاسایی,4
1956982075,بەڵام من دیبم لەسەر سولو وەرگرت...,neutral,minamic,@lostluna But I got dibs on Sulu...,But I got dibs on Sulu...,ئاسایی,4
1956982383,ئاوو ئێستا و بەرەو سەرەوە، یای! هێشتا دڵتەنگم بۆ ڕۆشتن گرەو دەکەم.,sadness,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.","Aww Onward and upwards now, yay! Still sad to leave I bet.",دڵتەنگ,2
1956982449,بە یەکجار هاها. هەژار  هێشتا ئازاری هەیە!,worry,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!,at once haha. poor aby still gets sore!,نیگەران,5
1956982576, ... 70mpg ئەوەندە دڵتەنگە لە ئەمریکا بەردەست نییە. ئەوە زۆر نایاب دەبێت.,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,diesel yaris... 70mpg so sad its not available in the US. That'd be awesome.,دڵتەنگ,2
1956982605,من دەمەوێت ئەم ئەلبوومە نایابە بکڕم بەڵام بەداخەوە       &;  &;,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,I want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;,دڵتەنگ,2
1956983160,بە هەموو ڕاستگۆیی...ئازار بلێچ.,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.,in all honesty...pain blech.,دڵتەنگ,2
1956983171,باشە ... سەرنشینەکان ... کەس لە ژیاندا نییە ... هەموویان مردوون ... تۆ تەنها تا کۆتایی نازانیت ... پاشان دەگریت ...,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,دڵتەنگ,2
1956983467,لە ماڵەوە بە تەنیا کە زۆر شت نییە بیکەیت,neutral,njc87,At home alone with not much to do,At home alone with not much to do,ئاسایی,4
1956983509, زۆر! من بەڕاستی دڵخۆش نەبووم بە هیچ کام لە هەڵبژاردەکانی چێشتلێنەران بۆ سینگڵەکان.,worry,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,ia so much! i haven't really been happy with any of cooks choices for singles.,نیگەران,5
1956983690,من لە کەنار دەریا خەوتم و کرێمی دژەخۆری پێویستم دانەنا خخخخ,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,i fell asleep on the beach and didn't put on enough sunscreen lol,دڵتەنگ,2
1956983851,بۆیە پێم وایە کوڕەکەم لەوانەیە ئەنفلۆنزاکەی هەبێت هۆکارەکەی من . تەنها پاککردەوە فەسادی پووکی بۆگەندار قووتە هەژارەکان,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess Poor pumkpin,نیگەران,5
1956983874,زۆر نایاب بوو بۆ بینینی  &; سینتیا. زۆر دڵخۆش. ئێوارەخوانەکە زۆر باش بوو، شوێنێکی بچووکی نازدار. زۆر بەداخەوە ئۆین دوای ئەوە نەخۆش کەوت.,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.","So great to see Oin &amp; Cynthia. So happy. Dinner was great, cute little place. Too bad Oin got sick afterwards.",بەختەوەر,10
1956983931,من ناتوانم هیچ   بدەم.,neutral,MunkyMunch,I cant give @jertronic any bday nudges.,I cant give any bday nudges.,ئاسایی,4
1956984185,...و هەموو ئەو ژنانەی کە یەکەم سەرنجەکانیان (سێکسی/دایکی) دەگوازنەوە بۆ سەر پیاوێکی کەمتر هەڕەشە -- خۆیان وەک ئەو لاوازن.,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',نیگەران,5
1956984205,برادرز بلوم ئەم کۆتایی هەفتەیە لە شاری ئێل پاسۆ ناکرێتەوە. من تەنها خشت دەکڕم و چێژ لەوە وەردەگرم تا دەتوانم سەیری فیلمی برادرز بلوم بکەم.,neutral,chicabajoelsol,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,Brothers Bloom won't be opening this weekend in El Paso. I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,ئاسایی,4
1956984559,دەڵێت بیری پلۆرکینگ دەکەم. ://.//,neutral,Marielii,says I miss plurking.  http://plurk.com/p/wxion,says I miss plurking. http://plurk.com/p/wxion,ئاسایی,4
1956984864,لەلایەن پشیلەکەمەوە پێوەی درا تا خوێن، لە ڕێگامدا بۆ بەکتریایەکی هاری. پێدەچێت ٧ شوت بۆ ماوەی ٢ مانگ. جارێکی تر هەرگیز پشیلەکانم لە ماڵەوە مەشۆ، ڕقیان لە ئاوە,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water","Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",نیگەران,5
1956984894,بیری ڤوبیس دەکەم!,neutral,Chai_Bo,I miss Voobys!,I miss Voobys!,ئاسایی,4
1956985129,هەروەها ELPیش نین!!,neutral,Cookphotos,@Dancing_Monk Neither are ELP!!,Neither are ELP!!,ئاسایی,4
1956985535,هاوڕێ، ئەوە خۆشترین شوێنی ساندویچی منە تا ئێستا. ئممم وێنەت گرتووە؟,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?","dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",بەختەوەر,10
1956985612,دڵتەنگە کە شین ئای هاوسەرگیری کردووە...و ئەوە بۆ ئەلێکس نەبووە,worry,juliehuang,is sad that shin ae got married...and it wasn't to alex,is sad that shin ae got married...and it wasn't to alex,نیگەران,5
1956985758,دڵنیابە کاتێک دەگەڕێیتەوە تویت لەسەر ئەم بابەتە دەکەیت، بەڵام هەواڵەکان باس لە ڕۆشتنی تی ئاڕ نایت دەکەن &;دڵنیاکراوەتەوە&; ئەمڕۆ. موی تریستێ.,worry,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.","Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today. Muy triste.",نیگەران,5
1956985764,ئای پێنجشەممە تاقیکردنەوەم هەیە.. بە درێژایی ڕۆژ ئەی چوارشەممە ؟,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,ohh thursday i have exams.. all day what about wednesday ?,دڵتەنگ,2
1956985973,ئەم پاشنیوەڕۆیە تێکەڵاوێک بوو لەگەڵ  پزیشکی ددانەکەم. بۆیە کاتیان بۆ سبەی کاتژمێر ٩ی بەیانی داناوە.,neutral,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow 9am.,ئاسایی,4
1956986211,من تەنها بیرم لەوە دەکردەوە کە چەندە پەرۆشم بۆ ئێوە کوڕان کە بجوڵێن، بەڵام دواتر تێگەیشتم کە چەندە دڵتەنگم کە دەبینم ئێوە دەڕۆن.,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.","i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",دڵتەنگ,2
1956986359,  ... خۆر دەرچووە.. بە دڵنیاییەوە ئێستا بەهار، یەکەم زریانی تەپوتۆزی بەهارمان هەبوو، ئۆتۆمبێلەکەم ئێستا چەقۆی هەیە..,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..","goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",نیگەران,5
1956986767,من ئەو ستیکە  انەم خۆشدەوێت. ئێمە تەنها 4 گێگابایتمان هەیە لە ئوسترالیا,sadness,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,دڵتەنگ,2
1956987381,شازادەی تازە و خەواڵووی خەو ڕۆتینی شەوانەم دەبێت زوو بچمە  ,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw,نیگەران,5
1956987600,نەفرەت!   توانای قسەکردنم لەگەڵ دەروازەیەکی دیاریکراو لە یەکێک لە سێرڤەرە devەکانماندا بە تەواوی تێکداوە. بۆیە ناتوانم سەیری بکەم و کۆد بکەم,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,ڕق,9
1956987828,من ئیرەیی بە دایکت دەبەم کە قسەی لەگەڵ دەکات دەمەوێت بتبینم هەموو تویتەرەکانمان وا دەکات بیرت بکەم,worry,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,i am jealous of your mom talking to i want to see you all our twittering is making me miss you,نیگەران,5
1956987904,ناتوانم بخەوم...بەردەوام بیر لەو بزەیەم دەکەمەوە کە ئەمڕۆ یاریم پێکرد,worry,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today,I can't sleep...I keep thinking about the puppy I played with today,نیگەران,5
1956987950,.. من بڕیارە خەو بم. بەڵام من هەندێک شتم دەستکەوت کە دەبێ بیکەم. &; من ئەو بەشە یەک لە گۆرانییەکەم لە سەرمدا گیر بوو &;   ()&; بلاه,worry,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot; blaahh,نیگەران,5
1956988145,چی ڕوودەدات خۆشەویستەکەم؟,neutral,padfootly,@lepetitagneau what's going on sweetheart?,what's going on sweetheart?,ئاسایی,4
1956988218,چۆن دەتوانێت ئەوەندە قورس بێت کە پشکنینی ڕێنووسی سەرتاسەری سیستەم بەدەست بهێنیت؟ گەواد، من ڕازی دەبووم بە سویتێکی ئۆفیس. ویندۆزێکی گەمژانەی بێ یارمەتیدەر,neutral,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows","How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",ئاسایی,4
1956988223,یەک مانگی ڕابردوو بەهۆی هاوینەوە شووتی لە بازاڕەکانی چێنا بەردەست نییە!,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!","Last one month due to summer, strawberry is not availble in the Chennai markets!",نیگەران,5
1956988477,کاتژمێر ٦ی بەیانی دەوام بکە. پێویستە بەم زووانە بخەویت,neutral,enlightenthem,@willxxmobb work at 6am. Gotta go to bed soon,work at 6am. Gotta go to bed soon,ئاسایی,4
